"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	66	4921532	1.3
	"Alabama"	"01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	43	4921532	0.9
	"Alabama"	"01"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	13	4921532	Unreliable
	"Alabama"	"01"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	21	4921532	0.4
	"Alabama"	"01"	"Septicaemia, unspecified"	"A41.9"	989	4921532	20.1
	"Alabama"	"01"	"Staphylococcal infection, unspecified"	"A49.0"	20	4921532	0.4
	"Alabama"	"01"	"Bacterial infection, unspecified"	"A49.9"	26	4921532	0.5
	"Alabama"	"01"	"Chronic viral hepatitis C"	"B18.2"	30	4921532	0.6
	"Alabama"	"01"	"HIV disease resulting in multiple infections"	"B20.7"	10	4921532	Unreliable
	"Alabama"	"01"	"HIV disease resulting in other specified conditions"	"B23.8"	10	4921532	Unreliable
	"Alabama"	"01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	26	4921532	0.5
	"Alabama"	"01"	"Coronavirus infection, unspecified"	"B34.2"	17	4921532	Unreliable
	"Alabama"	"01"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	12	4921532	Unreliable
	"Alabama"	"01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	28	4921532	0.6
	"Alabama"	"01"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	34	4921532	0.7
	"Alabama"	"01"	"Malignant neoplasm of parotid gland"	"C07"	12	4921532	Unreliable
	"Alabama"	"01"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	11	4921532	Unreliable
	"Alabama"	"01"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	25	4921532	0.5
	"Alabama"	"01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	52	4921532	1.1
	"Alabama"	"01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	228	4921532	4.6
	"Alabama"	"01"	"Cardia - Malignant neoplasms"	"C16.0"	18	4921532	Unreliable
	"Alabama"	"01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	136	4921532	2.8
	"Alabama"	"01"	"Duodenum - Malignant neoplasms"	"C17.0"	14	4921532	Unreliable
	"Alabama"	"01"	"Caecum - Malignant neoplasms"	"C18.0"	13	4921532	Unreliable
	"Alabama"	"01"	"Appendix - Malignant neoplasms"	"C18.1"	11	4921532	Unreliable
	"Alabama"	"01"	"Ascending colon - Malignant neoplasms"	"C18.2"	14	4921532	Unreliable
	"Alabama"	"01"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	22	4921532	0.4
	"Alabama"	"01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	656	4921532	13.3
	"Alabama"	"01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	53	4921532	1.1
	"Alabama"	"01"	"Malignant neoplasm of rectum"	"C20"	98	4921532	2.0
	"Alabama"	"01"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	17	4921532	Unreliable
	"Alabama"	"01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	150	4921532	3.0
	"Alabama"	"01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	119	4921532	2.4
	"Alabama"	"01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	239	4921532	4.9
	"Alabama"	"01"	"Malignant neoplasm of gallbladder"	"C23"	26	4921532	0.5
	"Alabama"	"01"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	24	4921532	0.5
	"Alabama"	"01"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	15	4921532	Unreliable
	"Alabama"	"01"	"Head of pancreas - Malignant neoplasms"	"C25.0"	36	4921532	0.7
	"Alabama"	"01"	"Body of pancreas - Malignant neoplasms"	"C25.1"	12	4921532	Unreliable
	"Alabama"	"01"	"Tail of pancreas - Malignant neoplasms"	"C25.2"	10	4921532	Unreliable
	"Alabama"	"01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	721	4921532	14.6
	"Alabama"	"01"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	32	4921532	0.7
	"Alabama"	"01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	69	4921532	1.4
	"Alabama"	"01"	"Main bronchus - Malignant neoplasms"	"C34.0"	14	4921532	Unreliable
	"Alabama"	"01"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	81	4921532	1.6
	"Alabama"	"01"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	35	4921532	0.7
	"Alabama"	"01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2594	4921532	52.7
	"Alabama"	"01"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	36	4921532	0.7
	"Alabama"	"01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	112	4921532	2.3
	"Alabama"	"01"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	16	4921532	Unreliable
	"Alabama"	"01"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	41	4921532	0.8
	"Alabama"	"01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	18	4921532	Unreliable
	"Alabama"	"01"	"Retroperitoneum - Malignant neoplasms"	"C48.0"	10	4921532	Unreliable
	"Alabama"	"01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	61	4921532	1.2
	"Alabama"	"01"	"Upper-outer quadrant of breast - Malignant neoplasms"	"C50.4"	11	4921532	Unreliable
	"Alabama"	"01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	680	4921532	13.8
	"Alabama"	"01"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	20	4921532	0.4
	"Alabama"	"01"	"Malignant neoplasm of vagina"	"C52"	13	4921532	Unreliable
	"Alabama"	"01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	95	4921532	1.9
	"Alabama"	"01"	"Endometrium - Malignant neoplasms"	"C54.1"	104	4921532	2.1
	"Alabama"	"01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	48	4921532	1.0
	"Alabama"	"01"	"Malignant neoplasm of ovary"	"C56"	188	4921532	3.8
	"Alabama"	"01"	"Malignant neoplasm of prostate"	"C61"	534	4921532	10.9
	"Alabama"	"01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	208	4921532	4.2
	"Alabama"	"01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	282	4921532	5.7
